Trait,Domain,Category,Branch,Tier,Cost,Display,Req,X
Dwarf,Humanoid,Genetic Mutation,Dwarfism,T1,4,Species Variant 1; Increase Defense 1; Decrease Command 1,,
Deep Dwarf,Humanoid,Genetic Mutation,Dwarfism,T1,4,Night Sight 30; Increase Willpower 1; Decrease Discipline 1,,
Dwarven Constitution,Humanoid,Genetic Mutation,Dwarfism,T2,6,Increase Toughness 1,,
Dwarven Axes,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Martial Axes 4pts,,
Dwarven Hammers ,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Martial Hammers 4pts,,
Dwarven Heavy Plate ,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Plate Armor 12pts,,
Dwarven Riches,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Mineral Riches -2pts,,
Dwarven Stature,Humanoid,Genetic Mutation,Dwarfism,T2,5,Dwarven Stature 2,,
Dwarven Ballista,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Ballista 55pts,,
Dwarven Heavy Cannons ,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Cannon 60pts,,
Dwarven Firearms,Humanoid,Genetic Mutation,Dwarfism,T2,0,Armory: Flintlock Rifle 10pts; Armory: Flintlock Pistol 5pts,,
Engineering Marvels,Humanoid,Genetic Mutation,Dwarfism,T2,6,Dwarven Siege Weapons 1,,
Subterranean,Humanoid,Genetic Mutation,Dwarfism,T2,2,Night Sight 30,,
Subterranean Mysteries,Humanoid,Genetic Mutation,Dwarfism,T2,10,Sorcery 1; Power Augmentation 1; Pre: Deep Dwarf,,
Giant,Humanoid,Genetic Mutation,Gigantism,T1,8,Species Variant 1; Increase Toughness 1; Increase Strength 1; Decrease Discipline 1; Decrease Command 1; Increase Size 1,,
Ogre,Humanoid,Genetic Mutation,Gigantism,T1,5,Increase Strength 1; Decrease Willpower 1; Increase Size 1,,
Cyclops,Humanoid,Genetic Mutation,Gigantism,T2,8,Ethereal Sight 15; Night Sight 24; Combat Enhancement 1; Decrease Ranged 1,,
Ettin,Humanoid,Genetic Mutation,Gigantism,T2,10,All Around Sight 2,,
Giant’s Smite,Humanoid,Genetic Mutation,Gigantism,T2,5,Smite,,
Giant’s Toss,Humanoid,Genetic Mutation,Gigantism,T2,6,Giant’s Throw,,
Massive Growth,Humanoid,Genetic Mutation,Gigantism,T2,6,Giant Weapons 1; Increase Size 1,,
Massive Size,Humanoid,Genetic Mutation,Gigantism,T2,10,Increase Size 1; Increase Wounds 1,,
Massive Strength,Humanoid,Genetic Mutation,Gigantism,T2,10,Increase Strength 2; Decrease Defense 1,,
Titan,Humanoid,Genetic Mutation,Gigantism,T2,24,Giant Weapons 1; Increase Toughness 1; Increase Wounds 2; Increase Size 1,,
Titan’s Blow,Humanoid,Genetic Mutation,Gigantism,T2,8,Smash Attack 1,,
Goblyn,Humanoid,Genetic Mutation,Gobynoid,T1,2,Species Variant 1; Declined Species 1; Decrease Toughness 1; Increase Movement 1; Pre: 1st Age,,
Imp,Humanoid,Genetic Mutation,Gobynoid,T1,4,Declined Species 1; Decrease Toughness 1; Increase Willpower 1; Resistance Extremis 1 (All); Pre: 1st Age,,
Back Stab,Humanoid,Genetic Mutation,Gobynoid,T2,2,Opportunistic Attack 1,,
Coordinated Assault,Humanoid,Genetic Mutation,Gobynoid,T2,2,Massed Attack 1 (Melee Attacks only); Pre:Goblyn,,
Cunning Attack,Humanoid,Genetic Mutation,Gobynoid,T2,2,Surprise Assault,,
